Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Major field of study - Classification of Instructional Programs (CIP) 2016,    05. Area; ethnic; cultural; gender; and group studies,NA,3805,NA,805,,3000,,3805,NA,805,,3000,
Major field of study - Classification of Instructional Programs (CIP) 2016,    09. Communication; journalism and related programs,NA,27655,NA,10905,,16755,,27655,NA,10905,,16755,
Major field of study - Classification of Instructional Programs (CIP) 2016,    19. Family and consumer sciences/human sciences,NA,26595,NA,2885,,23710,,26595,NA,2885,,23710,
Major field of study - Classification of Instructional Programs (CIP) 2016,    22. Legal professions and studies,NA,38050,NA,16600,,21445,,38050,NA,16600,,21445,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30B Interdisciplinary social and behavioural sciences,154,3800,NA,945,,2855,,3800,NA,945,,2855,
Major field of study - Classification of Instructional Programs (CIP) 2016,    42. Psychology,NA,29555,NA,7530,,22020,,29555,NA,7530,,22020,
Major field of study - Classification of Instructional Programs (CIP) 2016,    45. Social sciences,NA,86530,NA,40630,,45900,,86530,NA,40630,,45900,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Business; management and public administration,NA,316575,NA,143790,,172785,,316575,NA,143790,,172785,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.16 Accounting and computer science,NA,610,NA,255,,350,,610,NA,255,,350,
Major field of study - Classification of Instructional Programs (CIP) 2016,    44. Public administration and social service professions,NA,22585,NA,5035,,17545,,22585,NA,5035,,17545,
Major field of study - Classification of Instructional Programs (CIP) 2016,    52. Business; management; marketing and related support services,NA,293385,NA,138500,,154885,,293385,NA,138500,,154885,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Physical and life sciences and technologies,NA,63185,NA,30155,,33035,,63185,NA,30155,,33035,
Major field of study - Classification of Instructional Programs (CIP) 2016,    26. Biological and biomedical sciences,NA,29170,NA,12000,,17165,,29170,NA,12000,,17165,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.01 Biological and physical sciences,NA,13410,NA,5860,,7545,,13410,NA,5860,,7545,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30C Other interdisciplinary physical and life sciences,155,1380,NA,425,,955,,1380,NA,425,,955,
Major field of study - Classification of Instructional Programs (CIP) 2016,    40. Physical sciences,NA,17275,NA,11180,,6095,,17275,NA,11180,,6095,
Major field of study - Classification of Instructional Programs (CIP) 2016,    41. Science technologies/technicians,NA,1955,NA,695,,1265,,1955,NA,695,,1265,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Mathematics; computer and information sciences,NA,76440,NA,49500,,26940,,76440,NA,49500,,26940,
Major field of study - Classification of Instructional Programs (CIP) 2016,    11. Computer and information sciences and support services,NA,57245,NA,39505,,17740,,57245,NA,39505,,17740,
Major field of study - Classification of Instructional Programs (CIP) 2016,    25. Library science,NA,3700,NA,670,,3025,,3700,NA,670,,3025,
Major field of study - Classification of Instructional Programs (CIP) 2016,    27. Mathematics and statistics,NA,14350,NA,8495,,5850,,14350,NA,8495,,5850,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30D Interdisciplinary mathematics; computer and information sciences,156,1140,NA,825,,315,,1140,NA,825,,315,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Architecture; engineering; and related technologies,NA,203235,NA,170735,,32495,,203235,NA,170735,,32495,
Major field of study - Classification of Instructional Programs (CIP) 2016,    04. Architecture and related services,NA,18005,NA,11125,,6880,,18005,NA,11125,,6880,
Major field of study - Classification of Instructional Programs (CIP) 2016,    14. Engineering,NA,93105,NA,73095,,20010,,93105,NA,73095,,20010,
Major field of study - Classification of Instructional Programs (CIP) 2016,    15. Engineering technologies and engineering-related fields,NA,31630,NA,28215,,3415,,31630,NA,28215,,3415,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.12 Historic preservation and conservation,NA,90,NA,20,,60,,90,NA,20,,60,
Major field of study - Classification of Instructional Programs (CIP) 2016,    46. Construction trades,NA,25275,NA,24510,,765,,25275,NA,24510,,765,
Major field of study - Classification of Instructional Programs (CIP) 2016,    47. Mechanic and repair technologies/technicians,NA,23105,NA,22350,,755,,23105,NA,22350,,755,
Major field of study - Classification of Instructional Programs (CIP) 2016,    48. Precision production,NA,12020,NA,11410,,605,,12020,NA,11410,,605,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Agriculture; natural resources and conservation,NA,14385,NA,7115,,7275,,14385,NA,7115,,7275,
Major field of study - Classification of Instructional Programs (CIP) 2016,    01. Agriculture; agriculture operations and related sciences,NA,7765,NA,4080,,3685,,7765,NA,4080,,3685,
Major field of study - Classification of Instructional Programs (CIP) 2016,    03. Natural resources and conservation,NA,6625,NA,3035,,3590,,6625,NA,3035,,3590,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Health and related fields,NA,161615,NA,40265,,121350,,161615,NA,40265,,121350,
Major field of study - Classification of Instructional Programs (CIP) 2016,    31. Parks; recreation; leisure and fitness studies,NA,12375,NA,6250,,6130,,12375,NA,6250,,6130,
Major field of study - Classification of Instructional Programs (CIP) 2016,    51. Health professions and related programs,NA,142005,NA,30130,,111870,,142005,NA,30130,,111870,
Major field of study - Classification of Instructional Programs (CIP) 2016,    60. Dental; medical and veterinary residency programs,NA,7235,NA,3890,,3345,,7235,NA,3890,,3345,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Personal; protective and transportation services,NA,49585,NA,24090,,25495,,49585,NA,24090,,25495,
Major field of study - Classification of Instructional Programs (CIP) 2016,    12. Personal and culinary services,NA,33385,NA,11715,,21670,,33385,NA,11715,,21670,
Major field of study - Classification of Instructional Programs (CIP) 2016,    28. Military science; leadership and operational art,NA,210,NA,185,,25,,210,NA,185,,25,
Major field of study - Classification of Instructional Programs (CIP) 2016,    29. Military technologies and applied sciences,NA,220,NA,195,,25,,220,NA,195,,25,
Major field of study - Classification of Instructional Programs (CIP) 2016,    43. Security and protective services,NA,9475,NA,6475,,3005,,9475,NA,6475,,3005,
Major field of study - Classification of Instructional Programs (CIP) 2016,    49. Transportation and materials moving,NA,6290,NA,5525,,765,,6290,NA,5525,,765,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Other,NA,210,NA,85,,130,,210,NA,85,,130,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.99 Multidisciplinary/interdisciplinary studies; other,NA,205,NA,80,,125,,205,NA,80,,125,
Major field of study - Classification of Instructional Programs (CIP) 2016,Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 25 to 64 years in private households - 25% sample data,151,1554815,NA,745240,,809575,,1554815,NA,745240,,809575,
Major field of study - Classification of Instructional Programs (CIP) 2016,  No postsecondary certificate; diploma or degree,152,476880,NA,242535,,234340,,476880,NA,242535,,234340,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Education,NA,48015,NA,10310,,37710,,48015,NA,10310,,37710,
Major field of study - Classification of Instructional Programs (CIP) 2016,    13. Education,NA,48015,NA,10310,,37710,,48015,NA,10310,,37710,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Visual and performing arts; and communications technologies,NA,70630,NA,32800,,37825,,70630,NA,32800,,37825,
Major field of study - Classification of Instructional Programs (CIP) 2016,    10. Communications technologies/technicians and support services,NA,8240,NA,6095,,2145,,8240,NA,6095,,2145,
Major field of study - Classification of Instructional Programs (CIP) 2016,    50. Visual and performing arts,NA,62385,NA,26710,,35680,,62385,NA,26710,,35680,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Humanities,NA,77355,NA,28940,,48420,,77355,NA,28940,,48420,
Major field of study - Classification of Instructional Programs (CIP) 2016,    16. Aboriginal and foreign languages; literatures and linguistics,NA,9450,NA,2160,,7290,,9450,NA,2160,,7290,
Major field of study - Classification of Instructional Programs (CIP) 2016,    23. English language and literature/letters,NA,24570,NA,7840,,16730,,24570,NA,7840,,16730,
Major field of study - Classification of Instructional Programs (CIP) 2016,    24. Liberal arts and sciences; general studies and humanities,NA,18350,NA,6360,,11985,,18350,NA,6360,,11985,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30A Interdisciplinary humanities,153,545,NA,235,,310,,545,NA,235,,310,
Major field of study - Classification of Instructional Programs (CIP) 2016,    38. Philosophy and religious studies,NA,6215,NA,3600,,2615,,6215,NA,3600,,2615,
Major field of study - Classification of Instructional Programs (CIP) 2016,    39. Theology and religious vocations,NA,3875,NA,2365,,1515,,3875,NA,2365,,1515,
Major field of study - Classification of Instructional Programs (CIP) 2016,    54. History,NA,11710,NA,5965,,5745,,11710,NA,5965,,5745,
Major field of study - Classification of Instructional Programs (CIP) 2016,    55. French language and literature/letters,NA,2645,NA,405,,2240,,2645,NA,405,,2240,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Social and behavioural sciences and law,NA,176260,NA,64440,,111820,,176260,NA,64440,,111820,
Major field of study - Classification of Instructional Programs (CIP) 2016,    05. Area; ethnic; cultural; gender; and group studies,NA,3110,NA,680,,2430,,3110,NA,680,,2430,
Major field of study - Classification of Instructional Programs (CIP) 2016,    09. Communication; journalism and related programs,NA,23490,NA,9350,,14145,,23490,NA,9350,,14145,
Major field of study - Classification of Instructional Programs (CIP) 2016,    19. Family and consumer sciences/human sciences,NA,20460,NA,2080,,18380,,20460,NA,2080,,18380,
Major field of study - Classification of Instructional Programs (CIP) 2016,    22. Legal professions and studies,NA,32410,NA,13120,,19285,,32410,NA,13120,,19285,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30B Interdisciplinary social and behavioural sciences,154,3140,NA,795,,2340,,3140,NA,795,,2340,
Major field of study - Classification of Instructional Programs (CIP) 2016,    42. Psychology,NA,23045,NA,5665,,17385,,23045,NA,5665,,17385,
Major field of study - Classification of Instructional Programs (CIP) 2016,    45. Social sciences,NA,70605,NA,32750,,37850,,70605,NA,32750,,37850,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Business; management and public administration,NA,259240,NA,116620,,142625,,259240,NA,116620,,142625,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.16 Accounting and computer science,NA,525,NA,200,,325,,525,NA,200,,325,
Major field of study - Classification of Instructional Programs (CIP) 2016,    44. Public administration and social service professions,NA,18355,NA,4125,,14230,,18355,NA,4125,,14230,
Major field of study - Classification of Instructional Programs (CIP) 2016,    52. Business; management; marketing and related support services,NA,240360,NA,112290,,128070,,240360,NA,112290,,128070,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Physical and life sciences and technologies,NA,48020,NA,22475,,25540,,48020,NA,22475,,25540,
Major field of study - Classification of Instructional Programs (CIP) 2016,    26. Biological and biomedical sciences,NA,22455,NA,9165,,13290,,22455,NA,9165,,13290,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.01 Biological and physical sciences,NA,10355,NA,4475,,5880,,10355,NA,4475,,5880,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30C Other interdisciplinary physical and life sciences,155,1100,NA,355,,745,,1100,NA,355,,745,
Major field of study - Classification of Instructional Programs (CIP) 2016,    40. Physical sciences,NA,12630,NA,7955,,4685,,12630,NA,7955,,4685,
Major field of study - Classification of Instructional Programs (CIP) 2016,    41. Science technologies/technicians,NA,1470,NA,525,,945,,1470,NA,525,,945,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Mathematics; computer and information sciences,NA,66520,NA,43645,,22875,,66520,NA,43645,,22875,
Major field of study - Classification of Instructional Programs (CIP) 2016,    11. Computer and information sciences and support services,NA,51580,NA,35780,,15795,,51580,NA,35780,,15795,
Major field of study - Classification of Instructional Programs (CIP) 2016,    25. Library science,NA,2500,NA,490,,2005,,2500,NA,490,,2005,
Major field of study - Classification of Instructional Programs (CIP) 2016,    27. Mathematics and statistics,NA,11420,NA,6635,,4785,,11420,NA,6635,,4785,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30D Interdisciplinary mathematics; computer and information sciences,156,1020,NA,735,,290,,1020,NA,735,,290,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Architecture; engineering; and related technologies,NA,154980,NA,127815,,27160,,154980,NA,127815,,27160,
Major field of study - Classification of Instructional Programs (CIP) 2016,    04. Architecture and related services,NA,14855,NA,8910,,5940,,14855,NA,8910,,5940,
Major field of study - Classification of Instructional Programs (CIP) 2016,    14. Engineering,NA,75175,NA,58020,,17155,,75175,NA,58020,,17155,
Major field of study - Classification of Instructional Programs (CIP) 2016,    15. Engineering technologies and engineering-related fields,NA,23075,NA,20580,,2495,,23075,NA,20580,,2495,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.12 Historic preservation and conservation,NA,80,NA,20,,60,,80,NA,20,,60,
Major field of study - Classification of Instructional Programs (CIP) 2016,    46. Construction trades,NA,17955,NA,17415,,540,,17955,NA,17415,,540,
Major field of study - Classification of Instructional Programs (CIP) 2016,    47. Mechanic and repair technologies/technicians,NA,16100,NA,15580,,520,,16100,NA,15580,,520,
Major field of study - Classification of Instructional Programs (CIP) 2016,    48. Precision production,NA,7735,NA,7290,,445,,7735,NA,7290,,445,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Agriculture; natural resources and conservation,NA,11710,NA,5595,,6120,,11710,NA,5595,,6120,
Major field of study - Classification of Instructional Programs (CIP) 2016,    01. Agriculture; agriculture operations and related sciences,NA,6170,NA,3075,,3095,,6170,NA,3075,,3095,
Major field of study - Classification of Instructional Programs (CIP) 2016,    03. Natural resources and conservation,NA,5545,NA,2520,,3025,,5545,NA,2520,,3025,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Health and related fields,NA,127480,NA,31675,,95805,,127480,NA,31675,,95805,
Major field of study - Classification of Instructional Programs (CIP) 2016,    31. Parks; recreation; leisure and fitness studies,NA,9425,NA,4835,,4585,,9425,NA,4835,,4585,
Major field of study - Classification of Instructional Programs (CIP) 2016,    51. Health professions and related programs,NA,112440,NA,24045,,88390,,112440,NA,24045,,88390,
Major field of study - Classification of Instructional Programs (CIP) 2016,    60. Dental; medical and veterinary residency programs,NA,5620,NA,2795,,2825,,5620,NA,2795,,2825,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Personal; protective and transportation services,NA,37545,NA,18325,,19225,,37545,NA,18325,,19225,
Major field of study - Classification of Instructional Programs (CIP) 2016,    12. Personal and culinary services,NA,24950,NA,8690,,16260,,24950,NA,8690,,16260,
Major field of study - Classification of Instructional Programs (CIP) 2016,    28. Military science; leadership and operational art,NA,155,NA,130,,25,,155,NA,130,,25,
Major field of study - Classification of Instructional Programs (CIP) 2016,    29. Military technologies and applied sciences,NA,110,NA,95,,15,,110,NA,95,,15,
Major field of study - Classification of Instructional Programs (CIP) 2016,    43. Security and protective services,NA,7280,NA,4910,,2370,,7280,NA,4910,,2370,
Major field of study - Classification of Instructional Programs (CIP) 2016,    49. Transportation and materials moving,NA,5050,NA,4495,,560,,5050,NA,4495,,560,
Major field of study - Classification of Instructional Programs (CIP) 2016,  Other,NA,180,NA,70,,110,,180,NA,70,,110,
Major field of study - Classification of Instructional Programs (CIP) 2016,    30.99 Multidisciplinary/interdisciplinary studies; other,NA,180,NA,70,,110,,180,NA,70,,110,
Location of study compared with province or territory of residence with countries outside Canada,Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 15 years and over in private households - 25% sample data,157,2294785,NA,1092650,,1202135,,2294785,NA,1092650,,1202135,
Location of study compared with province or territory of residence with countries outside Canada,  No postsecondary certificate; diploma or degree,NA,938430,NA,454470,,483960,,938430,NA,454470,,483960,
Location of study compared with province or territory of residence with countries outside Canada,  Postsecondary certificate; diploma or degree,158,1356360,NA,638185,,718175,,1356360,NA,638185,,718175,
Location of study compared with province or territory of residence with countries outside Canada,    Location of study inside Canada,NA,929295,NA,434085,,495205,,929295,NA,434085,,495205,
Location of study compared with province or territory of residence with countries outside Canada,      Same as province or territory of residence,NA,844385,NA,392995,,451390,,844385,NA,392995,,451390,
Location of study compared with province or territory of residence with countries outside Canada,      Different than province or territory of residence,NA,84910,NA,41095,,43815,,84910,NA,41095,,43815,
Location of study compared with province or territory of residence with countries outside Canada,    Location of study outside Canada,159,427060,NA,204095,,222970,,427060,NA,204095,,222970,
Location of study compared with province or territory of residence with countries outside Canada,      United States,160,45380,NA,24765,,20620,,45380,NA,24765,,20620,
Location of study compared with province or territory of residence with countries outside Canada,      Philippines,NA,58780,NA,19975,,38800,,58780,NA,19975,,38800,
Location of study compared with province or territory of residence with countries outside Canada,      India,NA,42320,NA,22130,,20190,,42320,NA,22130,,20190,
Location of study compared with province or territory of residence with countries outside Canada,      United Kingdom,161,28740,NA,15215,,13535,,28740,NA,15215,,13535,
Location of study compared with province or territory of residence with countries outside Canada,      China,162,35475,NA,16700,,18775,,35475,NA,16700,,18775,
Location of study compared with province or territory of residence with countries outside Canada,      France,NA,4875,NA,2630,,2245,,4875,NA,2630,,2245,
Location of study compared with province or territory of residence with countries outside Canada,      Other,NA,211485,NA,102685,,108805,,211485,NA,102685,,108805,
Location of study compared with province or territory of residence with countries outside Canada,Total - Location of study compared with province or territory of residence with countries outside Canada for the population aged 25 to 64 years in private households - 25% sample data,157,1554810,NA,745235,,809575,,1554810,NA,745235,,809575,
Location of study compared with province or territory of residence with countries outside Canada,  No postsecondary certificate; diploma or degree,NA,476880,NA,242535,,234340,,476880,NA,242535,,234340,
Location of study compared with province or territory of residence with countries outside Canada,  Postsecondary certificate; diploma or degree,158,1077935,NA,502705,,575230,,1077935,NA,502705,,575230,
Location of study compared with province or territory of residence with countries outside Canada,    Location of study inside Canada,NA,739730,NA,344335,,395395,,739730,NA,344335,,395395,
Location of study compared with province or territory of residence with countries outside Canada,      Same as province or territory of residence,NA,671340,NA,310865,,360475,,671340,NA,310865,,360475,
Location of study compared with province or territory of residence with countries outside Canada,      Different than province or territory of residence,NA,68390,NA,33470,,34920,,68390,NA,33470,,34920,
Location of study compared with province or territory of residence with countries outside Canada,    Location of study outside Canada,159,338205,NA,158365,,179835,,338205,NA,158365,,179835,
Location of study compared with province or territory of residence with countries outside Canada,      United States,160,35025,NA,18675,,16350,,35025,NA,18675,,16350,
Location of study compared with province or territory of residence with countries outside Canada,      Philippines,NA,50685,NA,17040,,33645,,50685,NA,17040,,33645,
Location of study compared with province or territory of residence with countries outside Canada,      India,NA,36085,NA,18480,,17605,,36085,NA,18480,,17605,
Location of study compared with province or territory of residence with countries outside Canada,      United Kingdom,161,18570,NA,9775,,8800,,18570,NA,9775,,8800,
Location of study compared with province or territory of residence with countries outside Canada,      China,162,29550,NA,13705,,15845,,29550,NA,13705,,15845,
Location of study compared with province or territory of residence with countries outside Canada,      France,NA,4050,NA,2180,,1865,,4050,NA,2180,,1865,
Location of study compared with province or territory of residence with countries outside Canada,      Other,NA,164240,NA,78510,,85735,,164240,NA,78510,,85735,
Labour force status,Total - Population aged 15 years and over by Labour force status - 25% sample data,163,2294790,NA,1092655,,1202135,,2294790,NA,1092655,,1202135,
Labour force status,  In the labour force,NA,1483680,NA,758150,,725530,,1483680,NA,758150,,725530,
Labour force status,    Employed,NA,1361375,NA,697365,,664010,,1361375,NA,697365,,664010,
Labour force status,    Unemployed,NA,122305,NA,60785,,61520,,122305,NA,60785,,61520,
Labour force status,  Not in the labour force,NA,811105,NA,334505,,476605,,811105,NA,334505,,476605,
Labour force status,Participation rate,NA,64.7,NA,69.4,,60.4,,64.7,NA,69.4,,60.4,
Labour force status,Employment rate,NA,59.3,NA,63.8,,55.2,,59.3,NA,63.8,,55.2,
Labour force status,Unemployment rate,NA,8.2,NA,8,,8.5,,8.2,NA,8,,8.5,
Work activity during the reference year,Total population aged 15 years and over by work activity during the reference year - 25% sample data,164,2294790,NA,1092655,,1202135,,2294790,NA,1092655,,1202135,
Work activity during the reference year,  Did not work,165,791790,NA,328280,,463515,,791790,NA,328280,,463515,
Work activity during the reference year,  Worked,NA,1502995,NA,764375,,738620,,1502995,NA,764375,,738620,
Work activity during the reference year,    Worked full year; full time,166,750555,NA,409195,,341360,,750555,NA,409195,,341360,
Work activity during the reference year,    Worked part year and/or part time,167,752445,NA,355180,,397260,,752445,NA,355180,,397260,
Work activity during the reference year,Average weeks worked in reference year,NA,42.3,NA,42.9,,41.7,,42.3,NA,42.9,,41.7,
Class of worker,Total labour force aged 15 years and over by class of worker - 25% sample data,168,1483680,NA,758150,,725530,,1483680,NA,758150,,725530,
Class of worker,  Class of worker - not applicable,169,46135,NA,21730,,24405,,46135,NA,21730,,24405,
Class of worker,  All classes of workers,170,1437545,NA,736420,,701125,,1437545,NA,736420,,701125,
Class of worker,    Employee,NA,1254610,NA,621175,,633435,,1254610,NA,621175,,633435,
Class of worker,    Self-employed,171,182930,NA,115245,,67690,,182930,NA,115245,,67690,
Occupation - National Occupational Classification (NOC) 2016,Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data,172,1483680,NA,758150,,725530,,1483680,NA,758150,,725530,
Occupation - National Occupational Classification (NOC) 2016,  Occupation - not applicable,169,46135,NA,21730,,24405,,46135,NA,21730,,24405,
Occupation - National Occupational Classification (NOC) 2016,  All occupations,170,1437545,NA,736420,,701125,,1437545,NA,736420,,701125,
Occupation - National Occupational Classification (NOC) 2016,    0 Management occupations,NA,163965,NA,95505,,68460,,163965,NA,95505,,68460,
Occupation - National Occupational Classification (NOC) 2016,    1 Business; finance and administration occupations,NA,258870,NA,98770,,160100,,258870,NA,98770,,160100,
Occupation - National Occupational Classification (NOC) 2016,    2 Natural and applied sciences and related occupations,NA,117635,NA,88840,,28795,,117635,NA,88840,,28795,
Occupation - National Occupational Classification (NOC) 2016,    3 Health occupations,NA,84360,NA,22000,,62360,,84360,NA,22000,,62360,
Occupation - National Occupational Classification (NOC) 2016,    4 Occupations in education; law and social; community and government services,NA,186795,NA,60360,,126435,,186795,NA,60360,,126435,
Occupation - National Occupational Classification (NOC) 2016,    5 Occupations in art; culture; recreation and sport,NA,80195,NA,40685,,39510,,80195,NA,40685,,39510,
Occupation - National Occupational Classification (NOC) 2016,    6 Sales and service occupations,NA,345145,NA,163920,,181220,,345145,NA,163920,,181220,
Occupation - National Occupational Classification (NOC) 2016,    7 Trades; transport and equipment operators and related occupations,NA,131110,NA,122835,,8280,,131110,NA,122835,,8280,
Occupation - National Occupational Classification (NOC) 2016,    8 Natural resources; agriculture and related production occupations,NA,7555,NA,6240,,1310,,7555,NA,6240,,1310,
Occupation - National Occupational Classification (NOC) 2016,    9 Occupations in manufacturing and utilities,NA,61900,NA,37255,,24645,,61900,NA,37255,,24645,
Industry - North American Industry Classification System (NAICS) 2012,Total labour force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data,173,1483680,NA,758150,,725530,,1483680,NA,758150,,725530,
Industry - North American Industry Classification System (NAICS) 2012,  Industry - NAICS2012 - not applicable,169,46135,NA,21730,,24405,,46135,NA,21730,,24405,
Industry - North American Industry Classification System (NAICS) 2012,  All industry categories,170,1437540,NA,736415,,701125,,1437540,NA,736415,,701125,
Industry - North American Industry Classification System (NAICS) 2012,    11 Agriculture; forestry; fishing and hunting,NA,2095,NA,1310,,785,,2095,NA,1310,,785,
Industry - North American Industry Classification System (NAICS) 2012,    21 Mining; quarrying; and oil and gas extraction,NA,2045,NA,1345,,695,,2045,NA,1345,,695,
Industry - North American Industry Classification System (NAICS) 2012,    22 Utilities,NA,5915,NA,3855,,2060,,5915,NA,3855,,2060,
Industry - North American Industry Classification System (NAICS) 2012,    23 Construction,NA,76475,NA,68340,,8145,,76475,NA,68340,,8145,
Industry - North American Industry Classification System (NAICS) 2012,    31-33 Manufacturing,NA,105285,NA,68745,,36545,,105285,NA,68745,,36545,
Industry - North American Industry Classification System (NAICS) 2012,    41 Wholesale trade,NA,50120,NA,31390,,18725,,50120,NA,31390,,18725,
Industry - North American Industry Classification System (NAICS) 2012,    44-45 Retail trade,NA,141535,NA,66885,,74650,,141535,NA,66885,,74650,
Industry - North American Industry Classification System (NAICS) 2012,    48-49 Transportation and warehousing,NA,57910,NA,43835,,14080,,57910,NA,43835,,14080,
Industry - North American Industry Classification System (NAICS) 2012,    51 Information and cultural industries,NA,61350,NA,35260,,26090,,61350,NA,35260,,26090,
Industry - North American Industry Classification System (NAICS) 2012,    52 Finance and insurance,NA,120005,NA,60090,,59920,,120005,NA,60090,,59920,
Industry - North American Industry Classification System (NAICS) 2012,    53 Real estate and rental and leasing,NA,39935,NA,22060,,17880,,39935,NA,22060,,17880,
Industry - North American Industry Classification System (NAICS) 2012,    54 Professional; scientific and technical services,NA,175685,NA,98535,,77150,,175685,NA,98535,,77150,
Industry - North American Industry Classification System (NAICS) 2012,    55 Management of companies and enterprises,NA,4085,NA,1760,,2330,,4085,NA,1760,,2330,
Industry - North American Industry Classification System (NAICS) 2012,    56 Administrative and support; waste management and remediation services,NA,78885,NA,42905,,35985,,78885,NA,42905,,35985,
Industry - North American Industry Classification System (NAICS) 2012,    61 Educational services,NA,110275,NA,38130,,72150,,110275,NA,38130,,72150,
Industry - North American Industry Classification System (NAICS) 2012,    62 Health care and social assistance,NA,143250,NA,32215,,111035,,143250,NA,32215,,111035,
Industry - North American Industry Classification System (NAICS) 2012,    71 Arts; entertainment and recreation,NA,34995,NA,18395,,16600,,34995,NA,18395,,16600,
Industry - North American Industry Classification System (NAICS) 2012,    72 Accommodation and food services,NA,106910,NA,51155,,55755,,106910,NA,51155,,55755,
Industry - North American Industry Classification System (NAICS) 2012,    81 Other services (except public administration),NA,67390,NA,25505,,41880,,67390,NA,25505,,41880,
Industry - North American Industry Classification System (NAICS) 2012,    91 Public administration,NA,53395,NA,24710,,28680,,53395,NA,24710,,28680,
Place of work status,Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,174,1361375,NA,697365,,664005,,1361375,NA,697365,,664005,
Place of work status,  Worked at home,NA,101275,NA,52165,,49115,,101275,NA,52165,,49115,
Place of work status,  Worked outside Canada,NA,9045,NA,5800,,3240,,9045,NA,5800,,3240,
Place of work status,  No fixed workplace address,NA,156250,NA,108040,,48210,,156250,NA,108040,,48210,
Place of work status,  Worked at usual place,NA,1094805,NA,531360,,563445,,1094805,NA,531360,,563445,
Commuting destination,Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,NA,1094800,NA,531360,,563445,,1094800,NA,531360,,563445,
Commuting destination,  Commute within census subdivision (CSD) of residence,NA,884040,NA,405530,,478505,,884040,NA,405530,,478505,
Commuting destination,  Commute to a different census subdivision (CSD) within census division (CD) of residence,NA,0,NA,0,,0,,0,NA,0,,0,
Commuting destination,  Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence,NA,208165,NA,124305,,83855,,208165,NA,124305,,83855,
Commuting destination,  Commute to a different province or territory,NA,2605,NA,1520,,1080,,2605,NA,1520,,1080,
Main mode of commuting,Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,175,1251055,NA,639405,,611650,,1251055,NA,639405,,611650,
Main mode of commuting,  Car; truck; van - as a driver,NA,575260,NA,348270,,226990,,575260,NA,348270,,226990,
Main mode of commuting,  Car; truck; van - as a passenger,NA,57170,NA,21245,,35925,,57170,NA,21245,,35925,
Main mode of commuting,  Public transit,NA,463005,NA,192300,,270705,,463005,NA,192300,,270705,
Main mode of commuting,  Walked,NA,107665,NA,49540,,58125,,107665,NA,49540,,58125,
Main mode of commuting,  Bicycle,NA,34355,NA,21245,,13110,,34355,NA,21245,,13110,
Main mode of commuting,  Other method,NA,13605,NA,6800,,6805,,13605,NA,6800,,6805,
Commuting duration,Total - Commuting duration for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data,176,1251055,NA,639400,,611655,,1251055,NA,639400,,611655,
Commuting duration,  Less than 15 minutes,NA,152755,NA,74720,,78035,,152755,NA,74720,,78035,
